category_id,category_name,sub_cat1,sub_cat2,sub_cat3
1,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",Electronics,HomeTheater_TV_Video,HDMICables
2,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",Electronics,Headphones_Earbuds_Accessories,In-Ear
3,Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,Electronics,Mobiles_Accessories,Smartphones
4,Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,Home_Kitchen,Kitchen_Dining,Choppers
5,Computers&Accessories|ExternalDevices&DataStorage|PenDrives,Computers_Accessories,ExternalDevices_DataStorage,PenDrives
6,Electronics|Accessories|MemoryCards|MicroSD,Electronics,Accessories,MicroSD
7,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,Computers_Accessories,NetworkingDevices,WirelessUSBAdapters
8,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,Electronics,Mobiles_Accessories,PowerBanks
9,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Computers_Accessories,Accessories_Peripherals,USBCables
10,Computers&Accessories|NetworkingDevices|Repeaters&Extenders,Computers_Accessories,NetworkingDevices,Repeaters_Extenders
11,Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,Electronics,Mobiles_Accessories,BasicMobiles
12,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,Home_Kitchen,Kitchen_HomeAppliances,ElectricKettles
13,Computers&Accessories|NetworkingDevices|Routers,Computers_Accessories,NetworkingDevices,Routers
14,"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",Electronics,Headphones_Earbuds_Accessories,On-Ear
15,Computers&Accessories|NetworkingDevices|NetworkAdapters|BluetoothAdapters,Computers_Accessories,NetworkingDevices,BluetoothAdapters
16,Electronics|Cameras&Photography|SecurityCameras|DomeCameras,Electronics,Cameras_Photography,DomeCameras
17,Computers&Accessories|Components|InternalSolidStateDrives,Computers_Accessories,Components,InternalSolidStateDrives
